"","region","district","year","pop"
"3556","Volta","North Dayi",2002,35973.2372775376
"3557","Volta","Kpando",2002,43073.253297165
"3558","Volta","North Tongu",2002,68242.7115039229
"3559","Volta","Central Tongu",2002,63201.5498830304
"3560","Eastern","Nsawam-Adoagyiri",2002,60932.8560012579
"3561","Greater Accra","Ga Central",2002,72436.0912320614
"3562","Eastern","Akwapim South",2002,51863.3574671745
"3563","Eastern","Denkyembour",2002,85221.0928504169
"3564","Eastern","Kwaebibirem",2002,98325.6929069608
"3565","Eastern","Afram Plains South",2002,90375.5383462869
"3566","Eastern","Kwahu North",2002,61741.6074641198
"3567","Eastern","Suhum",2002,78072.4085518718
"3568","Eastern","Ayensuano",2002,90621.6191845834
"3569","Eastern","East Akim - Abuakwa South",2002,58253.5504439175
"3570","Eastern","Upper West Akim",2002,79331.9320497513
"3571","Eastern","West Akim",2002,87501.0489752293
"3572","Bono","Dormaa West",2002,28348.3200132549
"3573","Upper West","Nadowli-Kaleo",2002,44410.4451939166
"3574","Upper West","Daffiama-Bussie-Issa",2002,39886.3031978086
"3575","Upper West","Lawra",2002,50832.1624945849
"3576","Upper West","Nandom",2002,38874.8909325004
"3577","Upper East","Talensi",2002,77472.3246064037
"3578","Upper East","Nabdam",2002,23212.6336551607
"3579","Upper East","Builsa South",2002,39934.3884492703
"3580","Upper East","Builsa North",2002,39536.2718652636
"3581","Upper East","Binduri",2002,66402.9912379384
"3582","Upper East","Pusiga",2002,40634.4783027172
"3583","Upper East","Bawku Municipal",2002,62657.4156335592
"3584","Savannah","West Gonja",2002,40861.6599524952
"3585","Northern","Mion",2002,74287.5517907403
"3586","Northern","Yendi",2002,68143.5856954977
"3587","Northern","Tolon",2002,66016.4540077262
"3588","Northern","Kumbungu",2002,62132.944059886
"3589","Northern East","West Mamprusi",2002,97745.7850574777
"3590","Northern East","Mamprugu-Moagduri",2002,32912.3850844689
"3591","Northern","Zabzugu",2002,55170.5551359728
"3592","Northern","Tatale-Sangule",2002,30623.8735241964
"3593","Bono East","Sene East",2002,45087.1081590019
"3594","Bono East","Sene West",2002,45344.9635655582
"3595","Ahafo","Asutifi North",2002,50952.3731434196
"3596","Ashanti","Ahafo Ano North",2002,81164.796274513
"3597","Ahafo","Asutifi South",2002,37483.4961969107
"3598","Bono East","Techiman Municipal",2002,117386.030242488
"3599","Savannah","North Gonja",2002,37735.714652665
"3600","Greater Accra","Tema West",2002,123955.864789009
"3601","Greater Accra","Ashaiman",2002,59145.4096198082
"3602","Greater Accra","Kpone-Katamanso",2002,145556.892998606
"3603","Upper East","Tempane",2002,70375.8218958378
"3604","Upper East","Bolgatanga East",2002,28263.7502384186
"3605","Northern East","Bunkpurugu -Nakpanduri",2002,56459.398888275
"3606","Savannah","North-East Gonja",2002,38782.3054161407
"3607","Northern","Nanton",2002,30696.3087722659
"3608","Bono","Berekum West",2002,40558.3860153109
"3609","Bono East","Pru",2002,51577.9131689183
"3610","Eastern","Fanteakwa South",2002,31509.2272596657
"3611","Eastern","New Juaben South",2002,71945.534453094
"3612","Eastern","Akwapim North",2002,65836.6725373864
"3613","Volta","Keta",2002,57464.7563991547
"3614","Ashanti","Adansi Akrofuom",2002,72536.6013722271
"3615","Ashanti","Adansi North",2002,49415.2631259859
"3616","Ashanti","Obuasi East",2002,79335.7626838684
"3617","Ashanti","Amansie West",2002,51295.1778209805
"3618","Ashanti","Atwima Nwabiagya North",2002,52751.1823303998
"3619","Ashanti","Oforikrom",2002,157890.762422562
"3620","Ashanti","Old Tafo",2002,68949.406375885
"3621","Ashanti","Asokwa",2002,172919.008640289
"3622","Greater Accra","Ayawaso East",2002,38323.3324241638
"3623","Greater Accra","Ayawaso North",2002,22730.9543380737
"3624","Greater Accra","Ayawaso Central",2002,65803.1295852661
"3625","Ashanti","Kwadaso",2002,170334.052474022
"3626","Ashanti","Suame",2002,110394.295786381
"3627","Ashanti","Asokore Mampong",2002,112126.437697411
"3628","Ashanti","Afigya Kwabre South",2002,84950.6017864943
"3629","Ashanti","Ejisu",2002,98685.5456849039
"3630","Ashanti","Ahafo Ano South East",2002,46567.3202636838
"3631","Greater Accra","Korle-Klottey",2002,128496.490531921
"3632","Greater Accra","Ablekuma West",2002,74950.446975708
"3633","Greater Accra","Ablekuma Central",2002,111150.454059601
"3634","Greater Accra","Krowor",2002,66486.519865036
"3635","Greater Accra","Ga North",2002,99828.0627102852
"3636","Greater Accra","Weija-Gbawe",2002,123805.104433537
"3637","Greater Accra","Ablekuma North",2002,104278.993082047
"3638","Eastern","Birim south",2002,54336.0931043029
"3639","Eastern","Birim Central",2002,32933.8555869162
"3640","Eastern","Abuakwa North",2002,49590.9470875263
"3641","Eastern","Atiwa East",2002,46145.4685091674
"3642","Central","Awutu Senya East",2002,41394.0029571056
"3643","Oti","Kadjebi",2002,47431.8729248643
"3644","Ashanti","Kumasi",2002,481431.305567503
"3645","Greater Accra","Tema",2002,73410.5710101128
"3646","Greater Accra","Ga South",2002,161874.349325716
"3647","Western","Sekondi-Takoradi",2002,200006.659832776
"3648","Western","Effia-Kwesimintsim",2002,111117.136045396
"3649","Northern","Sagnarigu",2002,134440.165925145
"3650","Northern","Tamale",2002,173789.203474194
"3651","Central","Cape Coast",2002,129369.246614099
"3652","Greater Accra","Accra Metro",2002,233535.97568512
"3653","Greater Accra","Okai Koi North",2002,122186.539187431
"3654","Oti","Guan District",2002,34264.1926713586
"3655","Greater Accra","Ledzokuku",2003,129470.08820343
"3656","Northern East","Chereponi",2003,43434.4740061238
"3657","Upper West","Wa Municipal",2003,65501.4708401784
"3658","Upper West","Jirapa",2003,62284.165536277
"3659","Upper West","Sissala West",2003,26902.9308924936
"3660","Upper West","Lambussie",2003,43423.320076108
"3661","Upper East","Bolgatanga Municipal",2003,94870.5629174113
"3662","Upper East","Bongo",2003,80349.7912615836
"3663","Upper East","Kasena-Nankana West",2003,72468.3307527788
"3664","Upper West","Wa West",2003,64262.586853601
"3665","Savannah","Sawla-Tuna-Kalba",2003,71971.3688785471
"3666","Upper West","Sissala East",2003,62853.7341960035
"3667","Upper East","Kasena-Nankana",2003,83076.5809445605
"3668","Northern East","Yunyoo-Nasuan",2003,45869.4223166779
"3669","Upper East","Garu",2003,70816.9573195726
"3670","Northern East","East Mamprusi",2003,91860.8219545409
"3671","Upper East","Bawku West",2003,84486.9502813667
"3672","Bono","Dormaa East",2003,48240.4763173312
"3673","Bono","Berekum",2003,59583.2091903239
"3674","Bono","Jaman South",2003,75328.2256701887
"3675","Bono","Sunyani West",2003,96495.7937776446
"3676","Ahafo","Asunafo North",2003,101206.334740736
"3677","Bono East","Nkoranza North",2003,58278.6734318808
"3678","Bono East","Kintampo South",2003,67444.4797767848
"3679","Ahafo","Tano North",2003,77602.1404060572
"3680","Volta","Ketu North",2003,97930.3065760434
"3681","Volta","Ketu South",2003,139859.516033173
"3682","Volta","Anloga",2003,85439.2778194547
"3683","Volta","South Tongu",2003,71895.0927406251
"3684","Oti","Jasikan",2003,34159.4291561693
"3685","Oti","Krachi East",2003,100052.477488294
"3686","Oti","Nkwanta South",2003,87846.5414846465
"3687","Ashanti","Afigya Kwabre North",2003,57391.7813543677
"3688","Ashanti","Atwima Kwanwoma",2003,83310.5932454467
"3689","Ashanti","Sekyere South",2003,67294.0706184506
"3690","Ashanti","Sekyere East",2003,31175.5502537787
"3691","Ashanti","Sekyere Central",2003,66473.9947485849
"3692","Ashanti","Offinso North",2003,52815.6956325173
"3693","Ashanti","Offinso",2003,83347.5625769794
"3694","Greater Accra","Adentan",2003,57352.0553966761
"3695","Bono","Dormaa Municipal",2003,88382.2618845999
"3696","Ashanti","Ahafo Ano South West",2003,80496.5603477359
"3697","Ashanti","Bekwai",2003,123998.712607533
"3698","Ashanti","Bosomtwe",2003,82857.1173552871
"3699","Central","Ajumako-Enyan-Essiam",2003,104164.029426396
"3700","Central","Gomoa West",2003,81954.2753071487
"3701","Ashanti","Obuasi",2003,56277.879442811
"3702","Ashanti","Kwabre East",2003,77002.2630915046
"3703","Ashanti","Ejura-Sekyedumase",2003,82702.5561165661
"3704","Ashanti","Atwima Nwabiagya",2003,81760.0068717003
"3705","Ashanti","Atwima Mponua",2003,126707.243599892
"3706","Ashanti","Adansi South",2003,59056.6037456989
"3707","Ashanti","Adansi Asokwa",2003,61807.7975415438
"3708","Ashanti","Bosome Freho",2003,44812.6721642315
"3709","Ashanti","Asante Mampong",2003,82160.86988087
"3710","Central","Agona West",2003,102516.084131628
"3711","Central","Agona East",2003,78010.3975862265
"3712","Central","Assin North",2003,79716.3030418754
"3713","Central","Assin South",2003,88136.0944494978
"3714","Central","Asikuma-Odoben-Brakwa",2003,94108.6339868903
"3715","Central","Efutu",2003,52622.2742973566
"3716","Central","Gomoa East",2003,148023.836474717
"3717","Central","Abura-Asebu-Kwamankese",2003,97341.7760941386
"3718","Western","Jomoro",2003,119982.914875709
"3719","Western","Ellembelle",2003,86046.178604044
"3720","Western","Prestea-Huni Valley",2003,156763.249440446
"3721","Western","Ahanta West",2003,103030.404525563
"3722","Western","Nzema East",2003,56564.8161979467
"3723","Western","Tarkwa-Nsuaem",2003,80990.3246918097
"3724","Western North","Sefwi-Akontombra",2003,79814.0895068124
"3725","Eastern","Akyemansa",2003,69814.7596394122
"3726","Eastern","Kwahu South",2003,74499.9295636564
"3727","Eastern","Asene Manso Akroso",2003,54802.3905391097
"3728","Eastern","Upper Manya-Krobo",2003,71488.5672878921
"3729","Eastern","Achiase",2003,59333.5074731112
"3730","Eastern","Okere",2003,54758.8325599134
"3731","Eastern","Yilo-Krobo",2003,84257.602488786
"3732","Eastern","Atiwa West",2003,50585.6017643064
"3733","Eastern","New Juaben North",2003,74783.4873861074
"3734","Eastern","Fanteakwa North",2003,58213.3230666667
"3735","Eastern","Birim North",2003,66301.4715210497
"3736","Eastern","Asuogyaman",2003,81229.3747868091
"3737","Eastern","Kwahu East",2003,62407.2290090919
"3738","Eastern","Kwahu West",2003,80974.7846702635
"3739","Western North","Bibiani-Anhwiaso-Bekwai",2003,111497.176356554
"3740","Central","Upper Denkyira East",2003,59894.7551651597
"3741","Ashanti","Amansie Central",2003,68841.3885518014
"3742","Ashanti","Amansie South",2003,63098.6877395362
"3743","Central","Upper Denkyira West",2003,57698.6088210642
"3744","Central","Komenda-Edna-Eguafo-Abirem",2003,120947.713569999
"3745","Western North","Sefwi-Wiawso",2003,129825.319080368
"3746","Ahafo","Asunafo South",2003,84437.8218277246
"3747","Bono East","Nkoranza South",2003,85072.2443775386
"3748","Savannah","Bole",2003,67936.8096003346
"3749","Eastern","Lower-Manya Krobo",2003,80157.8008855283
"3750","Bono East","Kintampo North",2003,87020.3263943866
"3751","Bono East","Atebubu-Amanten",2003,89146.924031578
"3752","Northern","Kpandai",2003,50114.2235770375
"3753","Oti","Nkwanta North",2003,55459.747018531
"3754","Oti","Biakoye",2003,83463.6284592152
"3755","Savannah","Central Gonja",2003,70596.3522345759
"3756","Bono East","Pru West",2003,44487.7352152057
"3757","Northern","Savelugu",2003,70414.2580757849
"3758","Northern","Karaga",2003,73017.6286353059
"3759","Savannah","East Gonja",2003,100990.72003885
"3760","Volta","South Dayi",2003,38446.7009193301
"3761","Upper West","Wa East",2003,100111.843426913
"3762","Northern","Saboba",2003,54943.0436358899
"3763","Northern","Gushiegu",2003,67830.5581259951
"3764","Northern","Nanumba North",2003,68943.9915196225
"3765","Northern","Nanumba South",2003,98061.804344207
"3766","Bono","Wenchi",2003,75014.6029301658
"3767","Ahafo","Tano South",2003,49386.8978692293
"3768","Bono","Sunyani Municipal",2003,90085.5922032297
"3769","Ashanti","Asante Akim South",2003,102894.623442739
"3770","Greater Accra","Ada East",2003,52653.2000849545
"3771","Greater Accra","Shai-Osudoku",2003,44931.3433521241
"3772","Greater Accra","Ada West",2003,52000.9938680977
"3773","Greater Accra","Ningo Prampram",2003,61781.8733776808
"3774","Bono East","Techiman North",2003,62259.00513798
"3775","Bono","Banda",2003,31888.5935073979
"3776","Bono","Jaman North",2003,81011.1642905697
"3777","Bono","Tain",2003,66067.7834210917
"3778","Ashanti","Sekyere Kumawu",2003,47276.3015014082
"3779","Ashanti","Sekyere Afram Plains",2003,60480.1587924808
"3780","Ashanti","Asante Akim North",2003,76602.4479906932
"3781","Ashanti","Asante Akim Central",2003,51768.7420251966
"3782","Ashanti","Juaben",2003,48958.318143934
"3783","Greater Accra","La-Dade-Kotopon",2003,255931.761834145
"3784","Western North","Aowin",2003,98921.8561071828
"3785","Western North","Suaman",2003,20958.5318601131
"3786","Western North","Bia East",2003,43455.8454063237
"3787","Western North","Bia West",2003,62343.6560858265
"3788","Western North","Bodi",2003,38116.2090076208
"3789","Western North","Juaboso",2003,62455.4432100728
"3790","Western","Shama",2003,101115.961943537
"3791","Western","Wassa East",2003,80419.5582165867
"3792","Western","Mpohor",2003,38994.2322667092
"3793","Western","Wassa Amenfi West",2003,63559.0907589719
"3794","Western","Wassa Amenfi Central",2003,86306.8751476929
"3795","Central","Mfantsiman",2003,103769.608910561
"3796","Central","Ekumfi",2003,62480.1549033523
"3797","Central","Twifo-Hemang Lower Denkyira",2003,42815.5963517725
"3798","Central","Twifo-Ati-Mokwa",2003,69135.6749467403
"3799","Central","Awutu Senya",2003,93668.9333375096
"3800","Greater Accra","La-Nkwantanang-Madina",2003,78221.4916627407
"3801","Greater Accra","Ga East",2003,134726.280035019
"3802","Western","Wassa Amenfi East",2003,87776.6074041277
"3803","Central","Gomoa Central",2003,42558.9645675421
"3804","Central","Assin Foso",2003,44713.7501574457
"3805","Greater Accra","Ayawaso West",2003,271759.478063583
"3806","Greater Accra","Ga West",2003,115157.475718141
"3807","Oti","Krachi West",2003,38047.3025368899
"3808","Oti","Krachi Nchumuru",2003,65116.7669475526
"3809","Volta","Agortime-Ziope",2003,14446.7741203755
"3810","Volta","Adaklu",2003,26829.6619587317
"3811","Volta","Akatsi South",2003,76539.8147715181
"3812","Volta","Akatsi North",2003,24113.192119807
"3813","Volta","Ho",2003,132236.082477406
"3814","Volta","Hohoe",2003,61629.3967540264
"3815","Volta","Ho West",2003,92548.9344166368
"3816","Volta","Afadjato South",2003,78314.7759488225
"3817","Volta","North Dayi",2003,38770.9296553135
"3818","Volta","Kpando",2003,41723.3243972063
"3819","Volta","North Tongu",2003,70877.8530783281
"3820","Volta","Central Tongu",2003,62566.2095910534
"3821","Eastern","Nsawam-Adoagyiri",2003,61419.833987236
"3822","Greater Accra","Ga Central",2003,77068.6389555931
"3823","Eastern","Akwapim South",2003,52101.7977527082
"3824","Eastern","Denkyembour",2003,85190.7315305769
"3825","Eastern","Kwaebibirem",2003,99850.428281486
"3826","Eastern","Afram Plains South",2003,94138.9785449617
"3827","Eastern","Kwahu North",2003,64609.6478761956
"3828","Eastern","Suhum",2003,86274.7085543871
"3829","Eastern","Ayensuano",2003,82401.2717065811
"3830","Eastern","East Akim - Abuakwa South",2003,62756.3429055512
"3831","Eastern","Upper West Akim",2003,77725.258538723
"3832","Eastern","West Akim",2003,93366.1615633667
"3833","Bono","Dormaa West",2003,28280.9861826003
"3834","Upper West","Nadowli-Kaleo",2003,45093.179384023
"3835","Upper West","Daffiama-Bussie-Issa",2003,40351.4960693941
"3836","Upper West","Lawra",2003,52566.4723659754
"3837","Upper West","Nandom",2003,38807.7526541948
"3838","Upper East","Talensi",2003,76770.5416790843
"3839","Upper East","Nabdam",2003,24012.6271518171
"3840","Upper East","Builsa South",2003,39869.0156078599
"3841","Upper East","Builsa North",2003,41315.253139846
"3842","Upper East","Binduri",2003,67386.0461731553
"3843","Upper East","Pusiga",2003,39533.6776230931
"3844","Upper East","Bawku Municipal",2003,65023.7472393513
"3845","Savannah","West Gonja",2003,42286.9383141287
"3846","Northern","Mion",2003,77099.24734433
"3847","Northern","Yendi",2003,71454.6231265441
"3848","Northern","Tolon",2003,65074.3587608337
"3849","Northern","Kumbungu",2003,61136.8839840516
"3850","Northern East","West Mamprusi",2003,101508.190241925
"3851","Northern East","Mamprugu-Moagduri",2003,33926.027343113
"3852","Northern","Zabzugu",2003,56497.5095914975
"3853","Northern","Tatale-Sangule",2003,33274.2056736127
"3854","Bono East","Sene East",2003,47407.8656573966
"3855","Bono East","Sene West",2003,46243.2880612463
"3856","Ahafo","Asutifi North",2003,52177.7188971713
"3857","Ashanti","Ahafo Ano North",2003,83707.5399232507
"3858","Ahafo","Asutifi South",2003,38217.4243051708
"3859","Bono East","Techiman Municipal",2003,118654.624343649
"3860","Savannah","North Gonja",2003,37863.8029915616
"3861","Greater Accra","Tema West",2003,128678.935346603
"3862","Greater Accra","Ashaiman",2003,61941.8134064674
"3863","Greater Accra","Kpone-Katamanso",2003,148736.208528757
"3864","Upper East","Tempane",2003,71693.9814431071
"3865","Upper East","Bolgatanga East",2003,28398.8567303419
"3866","Northern East","Bunkpurugu -Nakpanduri",2003,57915.5714726001
"3867","Savannah","North-East Gonja",2003,39876.2063110434
"3868","Northern","Nanton",2003,32309.3917922676
"3869","Bono","Berekum West",2003,43127.0335570723
"3870","Bono East","Pru",2003,50421.2800657265
"3871","Eastern","Fanteakwa South",2003,32868.7608249784
"3872","Eastern","New Juaben South",2003,71407.8999994993
"3873","Eastern","Akwapim North",2003,66862.7658549249
"3874","Volta","Keta",2003,57020.0038683414
"3875","Ashanti","Adansi Akrofuom",2003,74145.8807097077
"3876","Ashanti","Adansi North",2003,50881.6277166605
"3877","Ashanti","Obuasi East",2003,76984.0227480531
"3878","Ashanti","Amansie West",2003,55959.0221639872
"3879","Ashanti","Atwima Nwabiagya North",2003,56186.756419152
"3880","Ashanti","Oforikrom",2003,158949.858547449
"3881","Ashanti","Old Tafo",2003,76467.6900644302
"3882","Ashanti","Asokwa",2003,178919.635157585
"3883","Greater Accra","Ayawaso East",2003,38942.9380607605
"3884","Greater Accra","Ayawaso North",2003,23018.1170272827
"3885","Greater Accra","Ayawaso Central",2003,67600.9320526123
"3886","Ashanti","Kwadaso",2003,175285.558851242
"3887","Ashanti","Suame",2003,120017.605929375
"3888","Ashanti","Asokore Mampong",2003,118196.533360004
"3889","Ashanti","Afigya Kwabre South",2003,85399.2706673741
"3890","Ashanti","Ejisu",2003,100760.797741681
"3891","Ashanti","Ahafo Ano South East",2003,45704.7633916438
"3892","Greater Accra","Korle-Klottey",2003,130487.078655243
"3893","Greater Accra","Ablekuma West",2003,78332.9958343506
"3894","Greater Accra","Ablekuma Central",2003,114868.298084259
"3895","Greater Accra","Krowor",2003,68049.5961771011
"3896","Greater Accra","Ga North",2003,103139.059375763
"3897","Greater Accra","Weija-Gbawe",2003,126430.24037075
"3898","Greater Accra","Ablekuma North",2003,107643.867940903
"3899","Eastern","Birim south",2003,55755.9138412476
"3900","Eastern","Birim Central",2003,33878.1276547611
"3901","Eastern","Abuakwa North",2003,50531.7327519655
"3902","Eastern","Atiwa East",2003,48475.7019720674
"3903","Central","Awutu Senya East",2003,47367.3779079914
"3904","Oti","Kadjebi",2003,48045.866676718
"3905","Ashanti","Kumasi",2003,520317.69630909
"3906","Greater Accra","Tema",2003,77063.5614805222
"3907","Greater Accra","Ga South",2003,165064.372833729
"3908","Western","Sekondi-Takoradi",2003,207621.544643402
"3909","Western","Effia-Kwesimintsim",2003,122182.361408532
"3910","Northern","Sagnarigu",2003,143278.651811481
"3911","Northern","Tamale",2003,172240.839012921
"3912","Central","Cape Coast",2003,134389.367502153
"3913","Greater Accra","Accra Metro",2003,241487.152015686
"3914","Greater Accra","Okai Koi North",2003,126693.702629089
"3915","Oti","Guan District",2003,37102.700252071
"3916","Greater Accra","Ledzokuku",2004,132925.15239048
"3917","Northern East","Chereponi",2004,44401.7598377168
"3918","Upper West","Wa Municipal",2004,67880.3769402355
"3919","Upper West","Jirapa",2004,64492.9522146545
"3920","Upper West","Sissala West",2004,27405.5861776881
"3921","Upper West","Lambussie",2004,45190.1727886871
"3922","Upper East","Bolgatanga Municipal",2004,96134.6599856615
"3923","Upper East","Bongo",2004,81002.1121813655
"3924","Upper East","Kasena-Nankana West",2004,72566.6484763585
"3925","Upper West","Wa West",2004,64517.7694304585
"3926","Savannah","Sawla-Tuna-Kalba",2004,73794.1794625036
"3927","Upper West","Sissala East",2004,64249.3192074671
"3928","Upper East","Kasena-Nankana",2004,85876.1117732152
"3929","Northern East","Yunyoo-Nasuan",2004,46354.8518796414
"3930","Upper East","Garu",2004,73347.7250988334
"3931","Northern East","East Mamprusi",2004,94804.6303592771
"3932","Upper East","Bawku West",2004,85839.3560108691
"3933","Bono","Dormaa East",2004,49880.3890579045
"3934","Bono","Berekum",2004,63644.7317803055
"3935","Bono","Jaman South",2004,76591.1536355615
"3936","Bono","Sunyani West",2004,96776.5164398253
"3937","Ahafo","Asunafo North",2004,103550.805479072
"3938","Bono East","Nkoranza North",2004,59593.1867660955
"3939","Bono East","Kintampo South",2004,68804.4384692162
"3940","Ahafo","Tano North",2004,79243.5389973074
"3941","Volta","Ketu North",2004,98305.1675614715
"3942","Volta","Ketu South",2004,141978.507291853
"3943","Volta","Anloga",2004,90046.5165057778
"3944","Volta","South Tongu",2004,74383.6819387525
"3945","Oti","Jasikan",2004,34273.9145681113
"3946","Oti","Krachi East",2004,102904.419210523
"3947","Oti","Nkwanta South",2004,90791.0355574787
"3948","Ashanti","Afigya Kwabre North",2004,61181.3653801382
"3949","Ashanti","Atwima Kwanwoma",2004,86574.9729174674
"3950","Ashanti","Sekyere South",2004,71840.1445116699
"3951","Ashanti","Sekyere East",2004,30981.7228671759
"3952","Ashanti","Sekyere Central",2004,67326.0580829307
"3953","Ashanti","Offinso North",2004,52575.879506737
"3954","Ashanti","Offinso",2004,83100.372442916
"3955","Greater Accra","Adentan",2004,59694.6934764385
"3956","Bono","Dormaa Municipal",2004,91055.459760718
"3957","Ashanti","Ahafo Ano South West",2004,79691.4871166497
"3958","Ashanti","Bekwai",2004,127286.639057845
"3959","Ashanti","Bosomtwe",2004,85152.6710431278
"3960","Central","Ajumako-Enyan-Essiam",2004,108475.06358701
"3961","Central","Gomoa West",2004,84557.9960876703
"3962","Ashanti","Obuasi",2004,58509.7461283207
"3963","Ashanti","Kwabre East",2004,76527.1801741719
"3964","Ashanti","Ejura-Sekyedumase",2004,83214.1338269413
"3965","Ashanti","Atwima Nwabiagya",2004,84428.3937875628
"3966","Ashanti","Atwima Mponua",2004,127329.55280745
"3967","Ashanti","Adansi South",2004,60918.0938168168
"3968","Ashanti","Adansi Asokwa",2004,60328.374678269
"3969","Ashanti","Bosome Freho",2004,45887.1822255999
"3970","Ashanti","Asante Mampong",2004,83225.713793695
"3971","Central","Agona West",2004,106056.274521202
"3972","Central","Agona East",2004,79758.7574943304
"3973","Central","Assin North",2004,80702.9815705717
"3974","Central","Assin South",2004,91418.4533384144
"3975","Central","Asikuma-Odoben-Brakwa",2004,96092.6731683612
"3976","Central","Efutu",2004,54532.2692918777
"3977","Central","Gomoa East",2004,156232.927199721
"3978","Central","Abura-Asebu-Kwamankese",2004,99770.9232542217
"3979","Western","Jomoro",2004,123444.424552768
"3980","Western","Ellembelle",2004,86999.7467926294
"3981","Western","Prestea-Huni Valley",2004,157849.658275828
"3982","Western","Ahanta West",2004,104600.84218426
"3983","Western","Nzema East",2004,56236.4603434131
"3984","Western","Tarkwa-Nsuaem",2004,81577.933281146
"3985","Western North","Sefwi-Akontombra",2004,81250.4562321752
"3986","Eastern","Akyemansa",2004,72040.0845508277
"3987","Eastern","Kwahu South",2004,75751.0803732872
"3988","Eastern","Asene Manso Akroso",2004,57387.4774055183
"3989","Eastern","Upper Manya-Krobo",2004,71992.5224239528
"3990","Eastern","Achiase",2004,61135.6291497946
"3991","Eastern","Okere",2004,52883.4559122324
"3992","Eastern","Yilo-Krobo",2004,83780.9472875297
"3993","Eastern","Atiwa West",2004,53463.936656639
"3994","Eastern","New Juaben North",2004,71436.4382199049
"3995","Eastern","Fanteakwa North",2004,61253.1625836492
"3996","Eastern","Birim North",2004,69172.2238287628
"3997","Eastern","Asuogyaman",2004,83251.5071744472
"3998","Eastern","Kwahu East",2004,63491.4704289436
"3999","Eastern","Kwahu West",2004,80789.0574217141
"4000","Western North","Bibiani-Anhwiaso-Bekwai",2004,113710.284612849
"4001","Central","Upper Denkyira East",2004,61352.0677984804
"4002","Ashanti","Amansie Central",2004,68602.8305850476
"4003","Ashanti","Amansie South",2004,66125.8863272518
"4004","Central","Upper Denkyira West",2004,58377.4306205213
"4005","Central","Komenda-Edna-Eguafo-Abirem",2004,123890.29610768
"4006","Western North","Sefwi-Wiawso",2004,131272.79166121
"4007","Ahafo","Asunafo South",2004,86468.8220543414
"4008","Bono East","Nkoranza South",2004,87342.8292372227
"4009","Savannah","Bole",2004,69344.7216409203
"4010","Eastern","Lower-Manya Krobo",2004,80610.5143077374
"4011","Bono East","Kintampo North",2004,88406.2018041499
"4012","Bono East","Atebubu-Amanten",2004,92207.0936248153
"4013","Northern","Kpandai",2004,51765.2190996259
"4014","Oti","Nkwanta North",2004,57084.1645445526
"4015","Oti","Biakoye",2004,84401.6820352823
"4016","Savannah","Central Gonja",2004,71861.1250629164
"4017","Bono East","Pru West",2004,45255.2807677202
"4018","Northern","Savelugu",2004,74130.0318427086
"4019","Northern","Karaga",2004,75719.7987434454
"4020","Savannah","East Gonja",2004,104689.539182257
"4021","Volta","South Dayi",2004,39169.1485344172
"4022","Upper West","Wa East",2004,101255.360040151
"4023","Northern","Saboba",2004,56258.1329699308
"4024","Northern","Gushiegu",2004,71091.5877375193
"4025","Northern","Nanumba North",2004,72872.635321483
"4026","Northern","Nanumba South",2004,102452.384703755
"4027","Bono","Wenchi",2004,75908.2100461349
"4028","Ahafo","Tano South",2004,50828.6753991246
"4029","Bono","Sunyani Municipal",2004,92705.0763131976
"4030","Ashanti","Asante Akim South",2004,104759.17715688
"4031","Greater Accra","Ada East",2004,57883.8586078882
"4032","Greater Accra","Shai-Osudoku",2004,46637.0540917888
"4033","Greater Accra","Ada West",2004,50047.2926122844
"4034","Greater Accra","Ningo Prampram",2004,63555.5074042231
"4035","Bono East","Techiman North",2004,62399.1953035295
"4036","Bono","Banda",2004,31764.3819933534
"4037","Bono","Jaman North",2004,82432.1653124616
"4038","Bono","Tain",2004,68288.4598863348
"4039","Ashanti","Sekyere Kumawu",2004,46992.3777453899
"4040","Ashanti","Sekyere Afram Plains",2004,60013.1164330095
"4041","Ashanti","Asante Akim North",2004,77643.5505311862
"4042","Ashanti","Asante Akim Central",2004,52009.54178527
"4043","Ashanti","Juaben",2004,49860.934413597
"4044","Greater Accra","La-Dade-Kotopon",2004,273915.865584373
"4045","Western North","Aowin",2004,99743.7569292709
"4046","Western North","Suaman",2004,21725.1056018099
"4047","Western North","Bia East",2004,44954.9084706903
"4048","Western North","Bia West",2004,62230.3538007811
"4049","Western North","Bodi",2004,39026.862406373
"4050","Western North","Juaboso",2004,63080.3083734065
"4051","Western","Shama",2004,107314.130497932
"4052","Western","Wassa East",2004,78638.8682127669
"4053","Western","Mpohor",2004,41183.433285147
"4054","Western","Wassa Amenfi West",2004,63675.7519175336
"4055","Western","Wassa Amenfi Central",2004,87402.7809875384
"4056","Central","Mfantsiman",2004,108479.06785506
"4057","Central","Ekumfi",2004,61892.772420764
"4058","Central","Twifo-Hemang Lower Denkyira",2004,44016.1463213712
"4059","Central","Twifo-Ati-Mokwa",2004,68804.1585248858
"4060","Central","Awutu Senya",2004,92200.6290106177
"4061","Greater Accra","La-Nkwantanang-Madina",2004,82232.6344327927
"4062","Greater Accra","Ga East",2004,136933.468768835
"4063","Western","Wassa Amenfi East",2004,87834.1357301474
"4064","Central","Gomoa Central",2004,43362.2801251411
"4065","Central","Assin Foso",2004,46944.3849832416
"4066","Greater Accra","Ayawaso West",2004,282700.281887054
