"","region","district","year","pop"
"2773","Volta","North Dayi",2025,42372.5597186196
"2774","Volta","Kpando",2025,66788.870923711
"2775","Volta","North Tongu",2025,125906.131470552
"2776","Volta","Central Tongu",2025,89924.8022128735
"2777","Eastern","Nsawam-Adoagyiri",2025,171864.106276633
"2778","Greater Accra","Ga Central",2025,319412.127911797
"2779","Eastern","Akwapim South",2025,65410.8677714765
"2780","Eastern","Denkyembour",2025,87244.9310955703
"2781","Eastern","Kwaebibirem",2025,136785.762984527
"2782","Eastern","Afram Plains South",2025,81700.4026844134
"2783","Eastern","Kwahu North",2025,75598.3076482555
"2784","Eastern","Suhum",2025,144641.218258969
"2785","Eastern","Ayensuano",2025,104612.48139984
"2786","Eastern","East Akim - Abuakwa South",2025,84137.5028054975
"2787","Eastern","Upper West Akim",2025,99439.0749079082
"2788","Eastern","West Akim",2025,141026.146945441
"2789","Bono","Dormaa West",2025,53094.8111833446
"2790","Upper West","Nadowli-Kaleo",2025,86421.3409447046
"2791","Upper West","Daffiama-Bussie-Issa",2025,44152.6844680281
"2792","Upper West","Lawra",2025,65806.9605858307
"2793","Upper West","Nandom",2025,60379.5032061012
"2794","Upper East","Talensi",2025,98442.7607918377
"2795","Upper East","Nabdam",2025,50453.6809644699
"2796","Upper East","Builsa South",2025,41801.8610963607
"2797","Upper East","Builsa North",2025,63414.3192590121
"2798","Upper East","Binduri",2025,79426.5542414915
"2799","Upper East","Pusiga",2025,89927.6928011104
"2800","Upper East","Bawku Municipal",2025,140397.039147615
"2801","Savannah","West Gonja",2025,73811.7195129087
"2802","Northern","Mion",2025,110422.963471745
"2803","Northern","Yendi",2025,172197.636485309
"2804","Northern","Tolon",2025,139767.263775874
"2805","Northern","Kumbungu",2025,118820.525985716
"2806","Northern East","West Mamprusi",2025,199096.608328449
"2807","Northern East","Mamprugu-Moagduri",2025,77323.2788319066
"2808","Northern","Zabzugu",2025,93767.2578058597
"2809","Northern","Tatale-Sangule",2025,84434.2539764373
"2810","Bono East","Sene East",2025,80766.0613403572
"2811","Bono East","Sene West",2025,80727.7480839742
"2812","Ahafo","Asutifi North",2025,83930.9121013843
"2813","Ashanti","Ahafo Ano North",2025,102179.571723212
"2814","Ahafo","Asutifi South",2025,81037.8748188727
"2815","Bono East","Techiman Municipal",2025,290959.222786066
"2816","Savannah","North Gonja",2025,69028.8765115682
"2817","Greater Accra","Tema West",2025,245083.717790208
"2818","Greater Accra","Ashaiman",2025,240216.873257145
"2819","Greater Accra","Kpone-Katamanso",2025,483310.017465817
"2820","Upper East","Tempane",2025,110200.538964008
"2821","Upper East","Bolgatanga East",2025,48638.3975637574
