"","district_final","year","cases"
"1","ablekuma central",2006,1
"2","ablekuma central",2016,1
"3","ablekuma central",2021,3
"4","ablekuma central",2022,4
"5","ablekuma central",2023,4
"6","ablekuma north",2019,1
"7","ablekuma north",2021,2
"8","ablekuma north",2023,3
"9","ablekuma north",2024,2
"10","ablekuma west",2008,1
"11","ablekuma west",2009,1
"12","ablekuma west",2015,1
"13","ablekuma west",2016,1
"14","ablekuma west",2019,1
"15","ablekuma west",2021,2
"16","ablekuma west",2022,7
"17","ablekuma west",2023,2
"18","ablekuma west",2024,3
"19","abuakwa north",2005,10
"20","abuakwa north",2006,7
"21","abuakwa north",2008,1
"22","abuakwa north",2009,4
"23","abuakwa north",2010,1
"24","abuakwa north",2011,12
"25","abuakwa north",2012,1
"26","abuakwa north",2015,3
"27","abuakwa north",2016,2
"28","abuakwa north",2017,2
"29","abuakwa north",2018,3
"30","abuakwa north",2020,1
"31","abuakwa north",2021,6
"32","abuakwa north",2022,6
"33","abuakwa north",2023,10
"34","abuakwa north",2024,6
"35","abura asebu kwamankese",2005,1
"36","abura asebu kwamankese",2014,1
"37","abura asebu kwamankese",2015,5
"38","abura asebu kwamankese",2016,1
"39","abura asebu kwamankese",2017,4
"40","abura asebu kwamankese",2018,4
"41","abura asebu kwamankese",2019,4
"42","abura asebu kwamankese",2020,4
"43","abura asebu kwamankese",2021,7
"44","abura asebu kwamankese",2022,3
"45","abura asebu kwamankese",2023,2
"46","abura asebu kwamankese",2024,3
"47","accra metro",2008,1
"48","accra metro",2009,1
"49","accra metro",2012,1
"50","accra metro",2014,2
"51","accra metro",2015,3
"52","accra metro",2016,2
"53","accra metro",2018,2
"54","accra metro",2019,14
"55","accra metro",2020,2
"56","accra metro",2021,6
"57","accra metro",2022,6
"58","accra metro",2023,2
"59","accra metro",2024,7
"60","achiase",2005,1
"61","achiase",2006,1
"62","achiase",2011,5
"63","achiase",2012,3
"64","achiase",2013,2
"65","achiase",2014,3
"66","achiase",2016,2
"67","achiase",2017,1
"68","achiase",2020,1
"69","achiase",2021,2
"70","achiase",2022,3
"71","achiase",2023,2
"72","achiase",2024,1
"73","ada east",2006,1
"74","ada east",2010,1
"75","ada east",2014,1
"76","ada east",2017,2
"77","ada east",2021,2
"78","ada east",2022,3
"79","ada east",2023,6
"80","ada east",2024,5
"81","ada west",2016,2
"82","ada west",2018,9
"83","ada west",2019,8
"84","ada west",2020,1
"85","ada west",2021,5
"86","ada west",2022,4
"87","ada west",2023,3
"88","ada west",2024,4
"89","adaklu",2006,1
"90","adaklu",2010,5
"91","adaklu",2011,2
"92","adaklu",2015,2
"93","adaklu",2016,4
"94","adaklu",2017,2
"95","adaklu",2018,6
"96","adaklu",2019,7
"97","adaklu",2020,2
"98","adaklu",2021,12
"99","adaklu",2022,12
"100","adaklu",2023,10
"101","adaklu",2024,7
"102","adansi akrofuom",2020,3
"103","adansi akrofuom",2021,2
"104","adansi akrofuom",2022,3
"105","adansi akrofuom",2023,1
"106","adansi akrofuom",2024,3
"107","adansi asokwa",2005,2
"108","adansi asokwa",2006,10
"109","adansi asokwa",2008,1
"110","adansi asokwa",2010,7
"111","adansi asokwa",2011,9
"112","adansi asokwa",2012,2
"113","adansi asokwa",2013,5
"114","adansi asokwa",2014,1
"115","adansi asokwa",2015,2
"116","adansi asokwa",2017,1
"117","adansi asokwa",2020,2
"118","adansi asokwa",2021,15
"119","adansi asokwa",2022,7
"120","adansi asokwa",2023,4
"121","adansi asokwa",2024,1
"122","adansi north",2018,1
"123","adansi north",2019,6
"124","adansi north",2020,4
"125","adansi north",2021,4
"126","adansi north",2022,4
"127","adansi north",2023,5
"128","adansi north",2024,9
"129","adansi south",2005,6
"130","adansi south",2006,1
"131","adansi south",2008,2
"132","adansi south",2010,3
"133","adansi south",2011,4
"134","adansi south",2012,2
"135","adansi south",2013,1
"136","adansi south",2014,4
"137","adansi south",2016,4
"138","adansi south",2017,1
"139","adansi south",2018,12
"140","adansi south",2019,7
"141","adansi south",2020,4
"142","adansi south",2021,7
"143","adansi south",2022,9
"144","adansi south",2023,17
"145","adansi south",2024,6
"146","adentan",2009,2
"147","adentan",2010,1
"148","adentan",2011,1
"149","adentan",2018,1
"150","adentan",2019,7
"151","adentan",2020,1
"152","adentan",2021,2
"153","adentan",2022,4
"154","adentan",2023,5
"155","adentan",2024,8
"156","afadjato south",2005,1
"157","afadjato south",2009,1
"158","afadjato south",2010,2
"159","afadjato south",2011,6
"160","afadjato south",2017,1
"161","afadjato south",2018,3
"162","afadjato south",2019,1
"163","afadjato south",2020,1
"164","afadjato south",2021,5
"165","afadjato south",2022,4
"166","afadjato south",2023,4
"167","afadjato south",2024,3
"168","afigya kwabre north",2012,1
"169","afigya kwabre north",2014,2
"170","afigya kwabre north",2016,1
"171","afigya kwabre north",2017,3
"172","afigya kwabre north",2019,2
"173","afigya kwabre north",2020,3
"174","afigya kwabre north",2021,3
"175","afigya kwabre north",2022,4
"176","afigya kwabre north",2023,2
"177","afigya kwabre north",2024,3
"178","afigya kwabre south",2008,1
"179","afigya kwabre south",2011,1
"180","afigya kwabre south",2013,1
"181","afigya kwabre south",2019,10
"182","afigya kwabre south",2021,8
"183","afigya kwabre south",2022,11
"184","afigya kwabre south",2023,10
"185","afigya kwabre south",2024,5
"186","afram plains south",2013,9
"187","afram plains south",2014,1
"188","afram plains south",2015,2
"189","afram plains south",2018,1
"190","afram plains south",2019,3
"191","afram plains south",2021,5
"192","afram plains south",2023,2
"193","afram plains south",2024,7
"194","agona east",2005,2
"195","agona east",2009,1
"196","agona east",2010,1
"197","agona east",2011,2
"198","agona east",2012,1
"199","agona east",2013,1
"200","agona east",2014,1
"201","agona east",2015,1
"202","agona east",2018,1
"203","agona east",2019,1
"204","agona east",2020,2
"205","agona east",2021,2
"206","agona east",2022,6
"207","agona east",2023,11
"208","agona east",2024,5
"209","agona west",2009,1
"210","agona west",2010,1
"211","agona west",2011,1
"212","agona west",2014,1
"213","agona west",2017,5
"214","agona west",2018,4
"215","agona west",2019,4
"216","agona west",2020,4
"217","agona west",2021,4
"218","agona west",2022,1
"219","agona west",2023,1
"220","agona west",2024,12
"221","agortime ziope",2012,2
"222","agortime ziope",2013,3
"223","agortime ziope",2014,4
"224","agortime ziope",2015,1
"225","agortime ziope",2016,5
"226","agortime ziope",2017,2
"227","agortime ziope",2018,3
"228","agortime ziope",2019,4
"229","agortime ziope",2020,6
"230","agortime ziope",2021,4
"231","agortime ziope",2022,1
"232","agortime ziope",2023,4
"233","agortime ziope",2024,7
"234","ahafo ano north",2005,6
"235","ahafo ano north",2006,6
"236","ahafo ano north",2008,1
"237","ahafo ano north",2009,1
"238","ahafo ano north",2010,1
"239","ahafo ano north",2011,2
"240","ahafo ano north",2012,4
"241","ahafo ano north",2014,1
"242","ahafo ano north",2015,5
"243","ahafo ano north",2016,2
"244","ahafo ano north",2017,9
"245","ahafo ano north",2018,9
"246","ahafo ano north",2019,6
"247","ahafo ano north",2020,5
"248","ahafo ano north",2021,4
"249","ahafo ano north",2022,6
"250","ahafo ano north",2023,4
"251","ahafo ano north",2024,9
"252","ahafo ano south east",2005,16
"253","ahafo ano south east",2006,1
"254","ahafo ano south east",2008,3
"255","ahafo ano south east",2009,1
"256","ahafo ano south east",2010,1
"257","ahafo ano south east",2011,3
"258","ahafo ano south east",2012,2
"259","ahafo ano south east",2013,3
"260","ahafo ano south east",2014,5
"261","ahafo ano south east",2015,1
"262","ahafo ano south east",2016,3
"263","ahafo ano south east",2017,1
"264","ahafo ano south east",2018,2
"265","ahafo ano south east",2019,1
"266","ahafo ano south east",2020,1
"267","ahafo ano south east",2021,4
"268","ahafo ano south east",2022,1
"269","ahafo ano south east",2023,1
"270","ahafo ano south east",2024,6
"271","ahafo ano south west",2018,1
"272","ahafo ano south west",2019,4
"273","ahafo ano south west",2020,1
"274","ahafo ano south west",2021,5
"275","ahafo ano south west",2022,5
"276","ahafo ano south west",2023,6
"277","ahafo ano south west",2024,3
"278","ahanta west",2005,1
"279","ahanta west",2006,6
"280","ahanta west",2008,2
"281","ahanta west",2010,1
"282","ahanta west",2011,1
"283","ahanta west",2012,1
"284","ahanta west",2013,3
"285","ahanta west",2014,1
"286","ahanta west",2015,6
"287","ahanta west",2016,1
"288","ahanta west",2017,4
"289","ahanta west",2018,15
"290","ahanta west",2019,6
"291","ahanta west",2020,2
"292","ahanta west",2021,23
"293","ahanta west",2022,19
"294","ahanta west",2023,13
"295","ahanta west",2024,5
"296","ajumako enyan essiam",2005,1
"297","ajumako enyan essiam",2010,1
"298","ajumako enyan essiam",2011,1
"299","ajumako enyan essiam",2012,1
"300","ajumako enyan essiam",2016,1
"301","ajumako enyan essiam",2017,1
"302","ajumako enyan essiam",2019,1
"303","ajumako enyan essiam",2021,1
"304","ajumako enyan essiam",2022,3
"305","ajumako enyan essiam",2023,5
"306","ajumako enyan essiam",2024,4
"307","akatsi north",2006,1
"308","akatsi north",2011,1
"309","akatsi north",2014,2
"310","akatsi north",2016,2
"311","akatsi north",2017,3
"312","akatsi north",2018,6
"313","akatsi north",2019,2
"314","akatsi north",2020,7
"315","akatsi north",2021,2
"316","akatsi north",2022,5
"317","akatsi north",2023,1
"318","akatsi north",2024,4
"319","akatsi south",2014,3
"320","akatsi south",2015,1
"321","akatsi south",2016,1
"322","akatsi south",2017,1
"323","akatsi south",2018,5
"324","akatsi south",2019,3
"325","akatsi south",2020,2
"326","akatsi south",2021,1
"327","akatsi south",2022,4
"328","akatsi south",2023,2
"329","akatsi south",2024,3
"330","akwapim north",2010,2
"331","akwapim north",2011,2
"332","akwapim north",2012,5
"333","akwapim north",2013,2
"334","akwapim north",2014,1
"335","akwapim north",2015,1
"336","akwapim north",2017,1
"337","akwapim north",2018,2
"338","akwapim north",2019,1
"339","akwapim north",2020,1
"340","akwapim north",2021,1
"341","akwapim north",2023,1
"342","akwapim north",2024,1
"343","akwapim south",2006,1
"344","akwapim south",2008,1
"345","akwapim south",2010,2
"346","akwapim south",2011,1
"347","akwapim south",2013,2
"348","akwapim south",2016,2
"349","akwapim south",2017,3
"350","akwapim south",2018,5
"351","akwapim south",2019,4
"352","akwapim south",2020,8
"353","akwapim south",2021,5
"354","akwapim south",2022,7
"355","akwapim south",2023,11
"356","akwapim south",2024,6
"357","akyemansa",2005,4
"358","akyemansa",2006,2
"359","akyemansa",2010,2
"360","akyemansa",2017,2
"361","akyemansa",2018,2
"362","akyemansa",2020,1
"363","akyemansa",2021,2
"364","akyemansa",2022,7
"365","akyemansa",2023,2
"366","akyemansa",2024,3
"367","amansie central",2005,3
"368","amansie central",2006,4
"369","amansie central",2008,2
"370","amansie central",2010,2
"371","amansie central",2011,1
"372","amansie central",2012,1
"373","amansie central",2013,1
"374","amansie central",2014,1
"375","amansie central",2015,1
"376","amansie central",2017,2
"377","amansie central",2018,3
"378","amansie central",2019,8
"379","amansie central",2020,1
"380","amansie central",2021,5
"381","amansie central",2022,2
"382","amansie central",2023,1
"383","amansie central",2024,4
"384","amansie south",2005,6
"385","amansie south",2006,2
"386","amansie south",2008,4
"387","amansie south",2009,5
"388","amansie south",2010,17
"389","amansie south",2011,19
"390","amansie south",2013,3
"391","amansie south",2014,11
"392","amansie south",2015,1
"393","amansie south",2016,1
"394","amansie south",2020,1
"395","amansie south",2021,7
"396","amansie south",2022,2
"397","amansie south",2023,6
"398","amansie south",2024,6
"399","amansie west",2018,5
"400","amansie west",2019,14
"401","amansie west",2020,8
"402","amansie west",2021,6
"403","amansie west",2022,16
"404","amansie west",2023,27
"405","amansie west",2024,20
"406","anloga",2005,3
"407","anloga",2006,4
"408","anloga",2009,8
"409","anloga",2010,5
"410","anloga",2011,1
"411","anloga",2014,3
"412","anloga",2016,4
"413","anloga",2017,5
"414","anloga",2018,4
"415","anloga",2020,4
"416","anloga",2021,4
"417","anloga",2022,4
"418","anloga",2023,1
"419","anloga",2024,3
"420","aowin",2006,2
"421","aowin",2012,1
"422","aowin",2014,2
"423","aowin",2015,3
"424","aowin",2017,6
"425","aowin",2018,4
"426","aowin",2019,6
"427","aowin",2020,1
"428","aowin",2021,6
"429","aowin",2022,1
"430","aowin",2023,4
"431","aowin",2024,2
"432","asante akim central",2005,3
"433","asante akim central",2008,1
"434","asante akim central",2010,3
"435","asante akim central",2014,5
"436","asante akim central",2018,2
"437","asante akim central",2019,1
"438","asante akim central",2020,1
"439","asante akim central",2021,7
"440","asante akim central",2022,3
"441","asante akim central",2023,3
"442","asante akim central",2024,2
"443","asante akim north",2012,1
"444","asante akim north",2014,3
"445","asante akim north",2017,1
"446","asante akim north",2018,7
"447","asante akim north",2019,6
"448","asante akim north",2020,8
"449","asante akim north",2021,8
"450","asante akim north",2022,4
"451","asante akim north",2023,2
"452","asante akim north",2024,7
"453","asante akim south",2005,1
"454","asante akim south",2006,3
"455","asante akim south",2008,1
"456","asante akim south",2009,5
"457","asante akim south",2011,1
"458","asante akim south",2012,1
"459","asante akim south",2013,1
"460","asante akim south",2014,1
"461","asante akim south",2016,1
"462","asante akim south",2017,3
"463","asante akim south",2018,3
"464","asante akim south",2019,5
"465","asante akim south",2020,11
"466","asante akim south",2021,8
"467","asante akim south",2022,8
"468","asante akim south",2023,11
"469","asante akim south",2024,5
"470","asante mampong",2005,3
"471","asante mampong",2006,6
"472","asante mampong",2009,3
"473","asante mampong",2010,1
"474","asante mampong",2011,1
"475","asante mampong",2014,13
"476","asante mampong",2015,11
"477","asante mampong",2016,3
"478","asante mampong",2017,6
"479","asante mampong",2018,6
"480","asante mampong",2019,4
"481","asante mampong",2021,6
"482","asante mampong",2022,2
"483","asante mampong",2023,2
"484","asante mampong",2024,2
"485","asene manso akroso",2018,1
"486","asene manso akroso",2021,2
"487","ashaiman",2018,4
"488","ashaiman",2019,2
"489","ashaiman",2020,3
"490","ashaiman",2021,7
"491","ashaiman",2022,5
"492","ashaiman",2024,5
"493","asikuma odoben brakwa",2006,2
"494","asikuma odoben brakwa",2008,2
"495","asikuma odoben brakwa",2009,1
"496","asikuma odoben brakwa",2015,2
"497","asikuma odoben brakwa",2016,3
"498","asikuma odoben brakwa",2017,1
"499","asikuma odoben brakwa",2019,2
"500","asikuma odoben brakwa",2020,1
"501","asikuma odoben brakwa",2021,5
"502","asikuma odoben brakwa",2022,6
"503","asikuma odoben brakwa",2023,7
"504","asikuma odoben brakwa",2024,9
"505","asokore mampong",2005,5
"506","asokore mampong",2006,6
"507","asokore mampong",2008,6
"508","asokore mampong",2009,4
"509","asokore mampong",2010,1
"510","asokore mampong",2011,9
"511","asokore mampong",2020,1
"512","asokore mampong",2021,3
"513","asokore mampong",2022,2
"514","asokore mampong",2024,1
"515","asokwa",2012,5
"516","asokwa",2013,2
"517","asokwa",2014,2
"518","asokwa",2015,1
"519","asokwa",2016,5
"520","asokwa",2017,1
"521","asokwa",2020,2
"522","asokwa",2021,2
"523","asokwa",2022,7
"524","asokwa",2023,2
"525","asokwa",2024,3
"526","assin foso",2005,2
"527","assin foso",2009,1
"528","assin foso",2011,1
"529","assin foso",2013,1
"530","assin foso",2014,3
"531","assin foso",2016,1
"532","assin foso",2017,2
"533","assin foso",2020,8
"534","assin foso",2021,6
"535","assin foso",2022,10
"536","assin foso",2023,17
"537","assin foso",2024,18
"538","assin north",2006,1
"539","assin north",2008,1
"540","assin north",2012,1
"541","assin north",2013,4
"542","assin north",2014,3
"543","assin north",2015,4
"544","assin north",2016,3
"545","assin north",2017,1
"546","assin north",2018,10
"547","assin north",2019,11
"548","assin north",2020,13
"549","assin north",2021,14
"550","assin north",2022,24
"551","assin north",2023,22
"552","assin north",2024,18
"553","assin south",2005,1
"554","assin south",2019,4
"555","assin south",2020,4
"556","assin south",2021,5
"557","assin south",2022,5
"558","assin south",2023,6
"559","assin south",2024,10
"560","asunafo north",2005,1
"561","asunafo north",2011,1
"562","asunafo north",2012,4
"563","asunafo north",2013,4
"564","asunafo north",2014,10
"565","asunafo north",2015,22
"566","asunafo north",2016,6
"567","asunafo north",2017,19
"568","asunafo north",2018,16
"569","asunafo north",2019,12
"570","asunafo north",2020,13
"571","asunafo north",2021,42
"572","asunafo north",2022,28
"573","asunafo north",2023,19
"574","asunafo north",2024,36
"575","asunafo south",2006,1
"576","asunafo south",2008,2
"577","asunafo south",2012,5
"578","asunafo south",2013,2
"579","asunafo south",2014,3
"580","asunafo south",2015,3
"581","asunafo south",2016,3
"582","asunafo south",2017,14
"583","asunafo south",2018,15
"584","asunafo south",2019,16
"585","asunafo south",2020,2
"586","asunafo south",2021,4
"587","asunafo south",2022,2
"588","asunafo south",2023,3
"589","asunafo south",2024,4
"590","asuogyaman",2006,2
"591","asuogyaman",2008,3
"592","asuogyaman",2009,1
"593","asuogyaman",2013,1
"594","asuogyaman",2017,1
"595","asuogyaman",2018,3
"596","asuogyaman",2019,5
"597","asuogyaman",2020,3
"598","asuogyaman",2021,6
"599","asuogyaman",2022,4
"600","asuogyaman",2023,5
"601","asuogyaman",2024,3
"602","asutifi north",2005,1
"603","asutifi north",2008,3
"604","asutifi north",2011,1
"605","asutifi north",2013,8
"606","asutifi north",2014,14
"607","asutifi north",2015,6
"608","asutifi north",2016,2
"609","asutifi north",2017,5
"610","asutifi north",2018,5
"611","asutifi north",2019,3
"612","asutifi north",2020,3
"613","asutifi north",2021,3
"614","asutifi north",2022,2
"615","asutifi north",2023,1
"616","asutifi north",2024,1
"617","asutifi south",2014,12
"618","asutifi south",2015,2
"619","asutifi south",2016,2
"620","asutifi south",2017,4
"621","asutifi south",2018,10
"622","asutifi south",2019,5
"623","asutifi south",2020,3
"624","asutifi south",2021,7
"625","asutifi south",2022,4
"626","asutifi south",2023,5
"627","asutifi south",2024,4
"628","atebubu amanten",2005,3
"629","atebubu amanten",2006,3
"630","atebubu amanten",2008,5
"631","atebubu amanten",2012,4
"632","atebubu amanten",2013,8
"633","atebubu amanten",2014,4
"634","atebubu amanten",2015,3
"635","atebubu amanten",2016,4
"636","atebubu amanten",2017,5
"637","atebubu amanten",2018,7
"638","atebubu amanten",2019,4
"639","atebubu amanten",2020,8
"640","atebubu amanten",2021,11
"641","atebubu amanten",2022,4
"642","atebubu amanten",2023,5
"643","atebubu amanten",2024,4
"644","atiwa east",2005,2
"645","atiwa east",2006,3
"646","atiwa east",2008,3
"647","atiwa east",2017,1
"648","atiwa east",2018,1
"649","atiwa east",2019,3
"650","atiwa east",2020,1
"651","atiwa east",2021,4
"652","atiwa east",2022,4
"653","atiwa east",2023,4
"654","atiwa east",2024,9
"655","atiwa west",2009,4
"656","atiwa west",2010,4
"657","atiwa west",2011,1
"658","atiwa west",2019,6
"659","atiwa west",2020,11
"660","atiwa west",2021,2
"661","atiwa west",2022,6
"662","atiwa west",2023,2
"663","atwima kwanwoma",2005,1
"664","atwima kwanwoma",2013,1
"665","atwima kwanwoma",2015,1
"666","atwima kwanwoma",2016,1
"667","atwima kwanwoma",2017,1
"668","atwima kwanwoma",2019,12
"669","atwima kwanwoma",2020,1
"670","atwima kwanwoma",2021,6
"671","atwima kwanwoma",2022,3
"672","atwima kwanwoma",2023,8
"673","atwima kwanwoma",2024,5
"674","atwima mponua",2005,12
"675","atwima mponua",2006,5
"676","atwima mponua",2008,2
"677","atwima mponua",2009,3
"678","atwima mponua",2010,1
"679","atwima mponua",2011,4
"680","atwima mponua",2012,5
"681","atwima mponua",2013,3
"682","atwima mponua",2014,1
"683","atwima mponua",2015,2
"684","atwima mponua",2016,4
"685","atwima mponua",2017,4
"686","atwima mponua",2018,2
"687","atwima mponua",2019,8
"688","atwima mponua",2020,2
"689","atwima mponua",2021,8
"690","atwima mponua",2022,10
"691","atwima mponua",2023,14
"692","atwima mponua",2024,7
"693","atwima nwabiagya",2005,4
"694","atwima nwabiagya",2006,32
"695","atwima nwabiagya",2008,1
"696","atwima nwabiagya",2012,2
"697","atwima nwabiagya",2014,2
"698","atwima nwabiagya",2015,2
"699","atwima nwabiagya",2016,3
"700","atwima nwabiagya",2017,1
"701","atwima nwabiagya",2018,3
"702","atwima nwabiagya",2019,5
"703","atwima nwabiagya",2020,5
"704","atwima nwabiagya",2021,3
"705","atwima nwabiagya",2022,7
"706","atwima nwabiagya",2023,5
